"Date","Suspected"
2023-01-23,112.5943157874
2023-01-24,154.2233111458
2023-01-25,294.3514649628
2023-01-26,276.3614251602
2023-01-27,276.3606746593
2023-01-28,218.4069327156
2023-01-29,222.9027931277
2023-01-30,197.8603628922
2023-01-31,111.8986868315
2023-02-01,95.69186478072
2023-02-02,178.6429597768
2023-02-03,216.1532486691
2023-02-04,239.966564423
2023-02-05,233.0152581553
2023-02-06,212.7761936661
2023-02-07,176.2867218341
2023-02-08,186.6093918062
2023-02-09,186.7108824927
2023-02-10,218.4972597009
2023-02-11,220.7449710108
2023-02-12,207.9669177249
2023-02-13,166.0596636247
2023-02-14,148.989888322
2023-02-15,134.3723379751
2023-02-16,140.1976465332
2023-02-17,149.3959761517
2023-02-18,178.6266676526
2023-02-19,186.4957367505
2023-02-20,186.59697727
2023-02-21,184.1424382697
2023-02-22,139.9872852343
2023-02-23,144.5861373349
2023-02-24,146.9362774575
2023-02-25,154.9068685129
2023-02-26,159.3004877375
2023-02-27,144.4792993292
2023-02-28,178.5144823278
2023-03-01,159.2971417542
2023-03-02,129.6549838337
2023-03-03,146.7226327171
2023-03-04,131.696930663
2023-03-05,163.7900627044
2023-03-06,163.7892183909
2023-03-07,144.470324589
2023-03-08,144.4695740881
2023-03-09,117.2808294165
2023-03-10,154.5867297464
2023-03-11,98.0628008837
2023-03-12,142.2165467299
2023-03-13,100.1041222955
2023-03-14,112.5724500153
2023-03-15,132.0939812107
2023-03-16,125.038838941
2023-03-17,95.60169500029
2023-03-18,129.8406098729
2023-03-19,102.5498116391
2023-03-20,83.23151198378
2023-03-21,117.1636094814
2023-03-22,104.6931553423
2023-03-23,131.8804302829
2023-03-24,95.59431507453
2023-03-25,91.09554647129
2023-03-26,80.87371049748
2023-03-27,112.6605567687
2023-03-28,93.34044340279
2023-03-29,76.37281547496
2023-03-30,85.56998807124
2023-03-31,64.00266372931
2023-04-01,115.0037547578
2023-04-02,85.25973090029
2023-04-03,104.6780827821
2023-04-04,90.98135981075
2023-04-05,100.0775107836
2023-04-06,90.87614789045
2023-04-07,63.68752830235
2023-04-08,102.3223139025
2023-04-09,63.88985298714
2023-04-10,85.4555825146
2023-04-11,90.97313557144
2023-04-12,55.81214879036
2023-04-13,59.28606639084
2023-04-14,83.09928833217
2023-04-15,76.04586596043
2023-04-16,90.96710659518
2023-04-17,72.77289712637
2023-04-18,61.42703350779
2023-04-19,63.57106517018
2023-04-20,70.72375799656
2023-04-21,85.13460573661
2023-04-22,70.41450149352
2023-04-23,70.61792065882
2023-04-24,72.76339078132
2023-04-25,61.41643268222
2023-04-26,70.5123960298
2023-04-27,90.85069970274
2023-04-28,68.36376754924
2023-04-29,85.53253186873
2023-04-30,76.22995972691
2023-05-01,63.86202821317
2023-05-02,72.85506241409
2023-05-03,104.5393484718
2023-05-04,154.8259082103
2023-05-05,146.6467382958
2023-05-06,144.499642088
2023-05-07,122.8304205381
2023-05-08,104.6348038801
2023-05-09,144.4961397503
2023-05-10,134.1712182755
2023-05-11,149.0931155985
2023-05-12,122.8235096755
2023-05-13,104.526621227
2023-05-14,137.4366195586
2023-05-15,102.2756264755
2023-05-16,151.1313724649
2023-05-17,139.7845707202
2023-05-18,161.4525101643
2023-05-19,154.6024444161
2023-05-20,139.883559737
2023-05-21,134.1583659471
2023-05-22,116.9865058113
2023-05-23,139.9830803586
2023-05-24,122.912054221
2023-05-25,125.1588586757
2023-05-26,122.9093649261
2023-05-27,100.1158655645
2023-05-28,134.2531646671
2023-05-29,154.693834611
2023-05-30,134.1479214759
2023-05-31,119.4289429842
2023-06-01,137.6215889094
2023-06-02,119.5288075854
2023-06-03,115.0301327948
2023-06-04,93.05440657869
2023-06-05,112.5751872732
2023-06-06,131.9941958433
2023-06-07,163.8828455097
2023-06-08,166.0280341944
2023-06-09,171.8531551272
2023-06-10,186.5697883035
2023-06-11,127.3886205052
2023-06-12,178.4930472017
2023-06-13,250.0393321353
2023-06-14,335.2807139548
2023-06-15,352.4512294431
2023-06-16,345.601632758
2023-06-17,349.9960650253
2023-06-18,306.2483444671
2023-06-19,343.350012589
2023-06-20,360.4177240142
2023-06-21,313.0928440001
2023-06-22,340.8932220859
2023-06-23,298.7811103603
2023-06-24,301.1315631917
2023-06-25,218.5442619497
2023-06-26,296.6321066293
2023-06-27,250.2268031559
2023-06-28,235.0991100813
2023-06-29,220.4817473596
2023-06-30,239.5943138051
2023-07-01,210.3604326753
2023-07-02,154.553161522
2023-07-03,195.2322079959
2023-07-04,195.333323432
2023-07-05,171.7205186522
2023-07-06,156.7972454108
2023-07-07,131.5500513625
2023-07-08,151.071551287
2023-07-09,163.7449555283
2023-07-10,129.4004847558
2023-07-11,180.7093312855
2023-07-12,165.989571022
2023-07-13,176.1077586191
2023-07-14,171.4042887448
2023-07-15,176.2075606785
2023-07-16,161.2833493109
2023-07-17,131.8454235984
2023-07-18,193.0684131425
2023-07-19,178.4507377121
2023-07-20,163.7319468456
2023-07-21,173.9523756302
2023-07-22,134.1908105486
2023-07-23,163.9333646751
2023-07-24,129.4870279656
2023-07-25,151.1550612222
2023-07-26,144.2028793701
2023-07-27,154.627696717
2023-07-28,142.1564295352
2023-07-29,161.4722900626
2023-07-30,161.5735931239
2023-07-31,127.2301542901
2023-08-01,148.8980937342
2023-08-02,154.518982459
2023-08-03,114.7575424609
2023-08-04,127.2264643272
2023-08-05,104.5342367561
2023-08-06,104.5334549843
2023-08-07,102.3864213182
2023-08-08,85.21452991154
2023-08-09,90.83451178109
2023-08-10,80.61230055683
2023-08-11,95.43176906718
2023-08-12,93.18152481658
2023-08-13,107.8990648482
2023-08-14,93.28138941779
2023-08-15,85.20621185962
2023-08-16,93.17811629155
2023-08-17,90.82519306127
2023-08-18,76.20723619304
2023-08-19,116.8853758116
2023-08-20,87.65258916237
2023-08-21,82.9492131007
2023-08-22,99.81331773531
2023-08-23,93.06596223768
2023-08-24,110.2365402677
2023-08-25,68.22651337524
2023-08-26,82.94414721945
2023-08-27,85.08914827887
2023-08-28,70.3701385163
2023-08-29,90.91276820983
2023-08-30,85.2903159414
2023-08-31,70.36626092818
2023-09-01,80.89328819169
2023-09-02,85.28659470765
2023-09-03,55.64493712109
2023-09-04,80.68499077037
2023-09-05,72.60968812871
2023-09-06,82.93229555901
2023-09-07,93.04854436204
2023-09-08,100.0996214184
2023-09-09,91.00140656803
2023-09-10,137.5054176204
2023-09-11,114.8140656337
2023-09-12,137.4002682418
2023-09-13,119.3081436061
2023-09-14,104.3840885929
2023-09-15,110.2095222344
2023-09-16,127.1739292625
2023-09-17,131.4651509453
2023-09-18,117.0525833073
2023-09-19,114.7005669323
2023-09-20,104.2744362088
2023-09-21,97.62913427341
2023-09-22,125.1214754202
2023-09-23,95.37770172968
2023-09-24,110.0952104904
2023-09-25,104.2676191587
2023-09-26,122.766331958
2023-09-27,104.4700376561
2023-09-28,131.6573125967
2023-09-29,144.3287467731
2023-09-30,85.35290566332
2023-10-01,104.1589361716
2023-10-02,87.49690605484
2023-10-03,117.1372502648
2023-10-04,137.4754288542
2023-10-05,87.69854278045
2023-10-06,127.1498506911
2023-10-07,117.132559634
2023-10-08,161.2859615006
2023-10-09,134.1995205582
2023-10-10,173.7532885525
2023-10-11,142.1694861961
2023-10-12,156.7842847063
2023-10-13,197.8711389078
2023-10-14,163.3233115117
2023-10-15,169.3529148194
2023-10-16,190.8153712207
2023-10-17,161.4801557587
2023-10-18,146.5565072668
2023-10-19,154.6305278027
2023-10-20,203.4842724564
2023-10-21,158.9200921293
2023-10-22,161.5770496271
2023-10-23,180.4841017588
2023-10-24,161.0632794782
2023-10-25,117.213911879
2023-10-26,137.4509124907
2023-10-27,212.4714590043
2023-10-28,222.6907307666
2023-10-29,186.4054598717
2023-10-30,203.3710864638
2023-10-31,195.3977435717
2023-11-01,173.9312219572
2023-11-02,141.8367452682
2023-11-03,154.4063447785
2023-11-04,195.2886853342
2023-11-05,176.0725017828
2023-11-06,180.5683934659
2023-11-07,148.6780239014
2023-11-08,212.3533322139
2023-11-09,197.5311744085
2023-11-10,171.4672391535
2023-11-11,183.8339198324
2023-11-12,215.3127291646
2023-11-13,176.0635270426
2023-11-14,186.0795672648
2023-11-15,158.9922507381
2023-11-16,171.7670205824
2023-11-17,176.0581797235
2023-11-18,156.6376388807
2023-11-19,122.702383025
2023-11-20,104.5082986397
2023-11-21,127.1983372498
2023-11-22,171.3516140329
2023-11-23,174.0083213636
2023-11-24,178.2996055882
2023-11-25,197.820792804
2023-11-26,178.2970726476
2023-11-27,144.3627549181
2023-11-28,141.9082471887
2023-11-29,188.8210353657
2023-11-30,151.309151659
2023-12-01,144.2560732668
2023-12-02,173.4875778103
2023-12-03,144.1506424504
2023-12-04,112.3626391569
2023-12-05,110.0112481994
2023-12-06,148.5433548198
2023-12-07,137.1962090955
2023-12-08,124.6232948728
2023-12-09,119.0007800627
2023-12-10,112.2539874407
2023-12-11,141.7910272535
2023-12-12,112.2515483127
2023-12-13,122.3689228671
2023-12-14,97.73555119412
2023-12-15,95.07734286152
2023-12-16,109.9983333293
2023-12-17,99.67366202145
2023-12-18,82.70625298972
2023-12-19,95.27641537564
2023-12-20,72.58506338893
2023-12-21,85.15628898449
2023-12-22,97.52206280806
2023-12-23,90.77561416573
2023-12-24,99.87060811628
2023-12-25,67.97964440528
2023-12-26,61.4375530544
2023-12-27,72.37241931642
2023-12-28,61.23063155145
2023-12-29,46.4095994975
2023-12-30,80.54621064093
2023-12-31,38.43510590049
2024-01-01,52.94731924359
2024-01-02,33.83290781664
2024-01-03,78.19022918248
2024-01-04,72.66933014235
2024-01-05,82.88913350948
2024-01-06,55.49534358725
2024-01-07,44.1491047182
2024-01-08,46.6015485701
2024-01-09,46.49852561083
2024-01-10,31.57484584807
2024-01-11,36.0707375311
2024-01-12,31.67492934539
2024-01-13,32
2024-01-14,21
2024-01-15,29
2024-01-16,17
2024-01-17,29
2024-01-18,21
2024-01-19,20
2024-01-20,17
2024-01-21,20
2024-01-22,20
2024-01-23,9
2024-01-24,15
2024-01-25,15
2024-01-26,4
