"date","Agegroup","Male","Female"
2023-07-11,"10-14y",2194,1991
2023-07-11,"15-19y",1457,1596
2023-07-11,"20-29y",3911,3213
2023-07-11,"30-39y",3475,2575
2023-07-11,"40-49y",2584,1948
2023-07-11,"50-59y",1771,1627
2023-07-11,"60-69y",1213,1232
2023-07-11,"70-79y",700,739
2023-07-11,"80y+",263,319
2023-07-10,"<1y",770,614
2023-07-10,"1-4y",6045,5063
2023-07-10,"5-9y",4288,3666
2023-07-10,"10-14y",2194,1991
2023-07-10,"15-19y",1457,1596
2023-07-10,"20-29y",3911,3213
2023-07-10,"30-39y",3475,2575
2023-07-10,"40-49y",2584,1948
2023-07-10,"50-59y",1771,1627
2023-07-10,"60-69y",1213,1232
2023-07-10,"70-79y",700,739
2023-07-10,"80y+",263,319
2023-07-09,"<1y",756,601
2023-07-09,"1-4y",5925,4942
2023-07-09,"5-9y",4203,3592
2023-07-09,"10-14y",2147,1871
2023-07-09,"15-19y",1415,1557
2023-07-09,"20-29y",3833,3138
2023-07-09,"30-39y",3408,2517
2023-07-09,"40-49y",2536,1911
2023-07-09,"50-59y",1740,1598
2023-07-09,"60-69y",1178,1210
2023-07-09,"70-79y",676,721
2023-07-09,"80y+",263,310
2023-07-08,"<1y",756,601
2023-07-08,"1-4y",5925,4942
2023-07-08,"5-9y",4203,3592
2023-07-08,"10-14y",2147,1871
2023-07-08,"15-19y",1415,1557
2023-07-08,"20-29y",3833,3138
2023-07-08,"30-39y",3408,2517
2023-07-08,"40-49y",2536,1911
2023-07-08,"50-59y",1740,1598
2023-07-08,"60-69y",1178,1210
2023-07-08,"70-79y",676,721
2023-07-08,"80y+",263,310
2023-07-07,"<1y",756,601
2023-07-07,"1-4y",5925,4942
2023-07-07,"5-9y",4203,3592
