"date","Country.Territory","Admin1","ISOCODE","Confirmed.cases","Confirmed.deaths","Suspected.cases","Suspected.deaths","Probable.cases","Probable.deaths","Hospitalized.deaths","Hospitalized.cases"
2024-01-12,"Dominican Republic","San Juan","DO-22",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","San Pedro de Macoris","DO-23",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Sanchez Ramirez","DO-24",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Santiago","DO-25",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Santiago Rodriguez","DO-26",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Santo Domingo","DO-32",74,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Valverde","DO-27",0,0,0,0,0,0,NA,NA
2024-01-02,"Haiti","TOTAL","HTI",4608,1161,77161,285,NA,NA,876,73423
2024-01-02,"Haiti","Ouest","HT-OU",2029,210,27922,0,0,0,NA,NA
2024-01-02,"Haiti","Artibonite","HT-AR",305,0,10694,0,0,0,NA,NA
2024-01-02,"Haiti","Centre","HT-CE",546,0,15335,0,0,0,NA,NA
2024-01-02,"Haiti","Nord","HT-ND",252,0,7418,0,0,0,NA,NA
2024-01-02,"Haiti","Sud","HT-SD",205,0,3000,0,0,0,NA,NA
2024-01-02,"Haiti","Nord-Est","HT-NE",265,0,2760,0,0,0,NA,NA
2024-01-02,"Haiti","Nord-Ouest","HT-NO",139,0,3514,0,0,0,NA,NA
2024-01-02,"Haiti","Grand Anse","HT-GA",377,0,1908,0,0,0,NA,NA
2024-01-02,"Haiti","Sud-Est","HT-SE",339,0,1987,0,0,0,NA,NA
2024-01-02,"Haiti","Nippes","HT-NI",151,0,2623,0,0,0,NA,NA
2024-01-02,"Haiti","Undetermined",NA,0,951,0,0,0,0,NA,NA
2024-01-02,"Haiti","Prison",NA,14,14,368,0,0,0,NA,NA
2024-01-02,"Dominican Republic","TOTAL","DOM",111,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Azua","DO-02",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Baoruco","DO-03",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Barahona","DO-04",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Dajabon","DO-05",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Distrito Nacional*","DO-01",2,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Duarte","DO-06",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","El Seibo","DO-08",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Elias Pina","DO-07",2,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Espaillat","DO-09",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Hato Mayor","DO-30",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Hermanas Mirabal","DO-19",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Independencia","DO-10",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","La Altagracia*","DO-11",1,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","La Romana","DO-12",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","La Vega","DO-13",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Maria Trinidad Sanchez","DO-14",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Monsenor Nouel","DO-28",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Monte Cristi","DO-15",1,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Monte Plata","DO-29",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Pedernales","DO-16",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Peravia","DO-17",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Puerto Plata","DO-18",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Samana","DO-20",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","San Cristobal","DO-21",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","San Jose de Ocoa","DO-31",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","San Juan","DO-22",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","San Pedro de Macoris","DO-23",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Sanchez Ramirez","DO-24",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Santiago","DO-25",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Santiago Rodriguez","DO-26",0,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Santo Domingo","DO-32",74,0,0,0,0,0,NA,NA
2024-01-02,"Dominican Republic","Valverde","DO-27",0,0,0,0,0,0,NA,NA
2023-12-19,"Haiti","TOTAL","HTI",4383,1156,76675,285,NA,NA,871,72370
2023-12-19,"Haiti","Ouest","HT-OU",1973,210,27663,0,0,0,NA,NA
2023-12-19,"Haiti","Artibonite","HT-AR",279,0,10601,0,0,0,NA,NA
2023-12-19,"Haiti","Centre","HT-CE",514,0,15258,0,0,0,NA,NA
2023-12-19,"Haiti","Nord","HT-ND",251,0,7490,0,0,0,NA,NA
2023-12-19,"Haiti","Sud","HT-SD",196,0,3000,0,0,0,NA,NA
2023-12-19,"Haiti","Nord-Est","HT-NE",258,0,2760,0,0,0,NA,NA
2023-12-19,"Haiti","Nord-Ouest","HT-NO",129,0,3508,0,0,0,NA,NA
2023-12-19,"Haiti","Grand Anse","HT-GA",329,0,1830,0,0,0,NA,NA
2023-12-19,"Haiti","Sud-Est","HT-SE",327,0,1986,0,0,0,NA,NA
2023-12-19,"Haiti","Nippes","HT-NI",127,0,2579,0,0,0,NA,NA
2023-12-19,"Haiti","Undetermined",NA,0,946,0,0,0,0,NA,NA
2023-12-19,"Haiti","Prison",NA,14,14,368,0,0,0,NA,NA
2023-12-19,"Dominican Republic","TOTAL","DOM",111,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Azua","DO-02",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Baoruco","DO-03",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Barahona","DO-04",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Dajabon","DO-05",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Distrito Nacional*","DO-01",2,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Duarte","DO-06",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","El Seibo","DO-08",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Elias Pina","DO-07",2,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Espaillat","DO-09",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Hato Mayor","DO-30",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Hermanas Mirabal","DO-19",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Independencia","DO-10",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","La Altagracia*","DO-11",1,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","La Romana","DO-12",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","La Vega","DO-13",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Maria Trinidad Sanchez","DO-14",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Monsenor Nouel","DO-28",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Monte Cristi","DO-15",1,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Monte Plata","DO-29",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Pedernales","DO-16",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Peravia","DO-17",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Puerto Plata","DO-18",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Samana","DO-20",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","San Cristobal","DO-21",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","San Jose de Ocoa","DO-31",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","San Juan","DO-22",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","San Pedro de Macoris","DO-23",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Sanchez Ramirez","DO-24",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Santiago","DO-25",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Santiago Rodriguez","DO-26",0,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Santo Domingo","DO-32",74,0,0,0,0,0,NA,NA
2023-12-19,"Dominican Republic","Valverde","DO-27",0,0,0,0,0,0,NA,NA
2023-12-11,"Haiti","TOTAL","HTI",4336,1154,76310,0,NA,NA,869,71625
2023-12-11,"Haiti","Ouest","HT-OU",1969,210,27486,0,0,0,NA,NA
2023-12-11,"Haiti","Artibonite","HT-AR",269,0,10542,0,0,0,NA,NA
2023-12-11,"Haiti","Centre","HT-CE",511,0,15225,0,0,0,NA,NA
2023-12-11,"Haiti","Nord","HT-ND",251,0,7474,0,0,0,NA,NA
2023-12-11,"Haiti","Sud","HT-SD",186,0,2984,0,0,0,NA,NA
2023-12-11,"Haiti","Nord-Est","HT-NE",258,0,2760,0,0,0,NA,NA
2023-12-11,"Haiti","Nord-Ouest","HT-NO",129,0,3501,0,0,0,NA,NA
2023-12-11,"Haiti","Grand Anse","HT-GA",329,0,1780,0,0,0,NA,NA
2023-12-11,"Haiti","Sud-Est","HT-SE",320,0,1986,0,0,0,NA,NA
2023-12-11,"Haiti","Nippes","HT-NI",114,0,2572,0,0,0,NA,NA
2023-12-11,"Haiti","Undetermined",NA,0,944,0,0,0,0,NA,NA
2023-12-11,"Haiti","Prison",NA,14,14,368,0,0,0,NA,NA
2023-12-11,"Dominican Republic","TOTAL","DOM",111,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Azua","DO-02",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Baoruco","DO-03",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Barahona","DO-04",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Dajabon","DO-05",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Distrito Nacional*","DO-01",2,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Duarte","DO-06",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","El Seibo","DO-08",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Elias Pina","DO-07",2,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Espaillat","DO-09",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Hato Mayor","DO-30",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Hermanas Mirabal","DO-19",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Independencia","DO-10",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","La Altagracia*","DO-11",1,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","La Romana","DO-12",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","La Vega","DO-13",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Maria Trinidad Sanchez","DO-14",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Monsenor Nouel","DO-28",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Monte Cristi","DO-15",1,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Monte Plata","DO-29",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Pedernales","DO-16",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Peravia","DO-17",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Puerto Plata","DO-18",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Samana","DO-20",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","San Cristobal","DO-21",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","San Jose de Ocoa","DO-31",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","San Juan","DO-22",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","San Pedro de Macoris","DO-23",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Sanchez Ramirez","DO-24",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Santiago","DO-25",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Santiago Rodriguez","DO-26",0,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Santo Domingo","DO-32",74,0,0,0,0,0,NA,NA
2023-12-11,"Dominican Republic","Valverde","DO-27",0,0,0,0,0,0,NA,NA
2023-11-20,"Haiti","TOTAL","HTI",4249,1100,72638,0,NA,NA,819,67964
2023-11-20,"Haiti","Ouest","HT-OU",1962,210,26818,0,0,0,NA,NA
2023-11-20,"Haiti","Artibonite","HT-AR",261,0,10187,0,0,0,NA,NA
2023-11-20,"Haiti","Centre","HT-CE",510,0,14801,0,0,0,NA,NA
2023-11-20,"Haiti","Nord","HT-ND",248,0,6421,0,0,0,NA,NA
2023-11-20,"Haiti","Sud","HT-SD",167,0,2704,0,0,0,NA,NA
2023-11-20,"Haiti","Nord-Est","HT-NE",256,0,2653,0,0,0,NA,NA
2023-11-20,"Haiti","Nord-Ouest","HT-NO",121,0,3460,0,0,0,NA,NA
2023-11-20,"Haiti","Grand Anse","HT-GA",309,0,1454,0,0,0,NA,NA
2023-11-20,"Haiti","Sud-Est","HT-SE",311,0,1802,0,0,0,NA,NA
2023-11-20,"Haiti","Nippes","HT-NI",104,0,2338,0,0,0,NA,NA
2023-11-20,"Haiti","Undetermined",NA,0,890,0,0,0,0,NA,NA
2023-11-20,"Haiti","Prison",NA,14,14,368,0,0,0,NA,NA
2023-11-20,"Dominican Republic","TOTAL","DOM",111,0,0,0,0,0,NA,NA
2023-11-20,"Dominican Republic","Azua","DO-02",0,0,0,0,0,0,NA,NA
2023-11-20,"Dominican Republic","Baoruco","DO-03",0,0,0,0,0,0,NA,NA
2023-11-20,"Dominican Republic","Barahona","DO-04",0,0,0,0,0,0,NA,NA
